MATHEMATICS,ENGG-3,MINOR,Partial Differential Equations,"CS,CH,CE,EC,ME,MM"
MATHEMATICS,ENGG-3,MINOR,Complex Analysis,"CS,CH,CE,EC,ME,MM"
MATHEMATICS,ENGG-4,MINOR,Abstract Algebra,"CS,CH,CE,EC,ME,MM"
MATHEMATICS,ENGG-4,MINOR,Transform Calculus,"CS,CH,EC,ME,MM"
PHYSICS,ENGG-3,MINOR,Elementary Solid State Physics ,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-3,MINOR,Synthesis and Characterization of Nanomaterials - I,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-3,MINOR,Synthesis and Characterization of Nanomaterials Laboratory,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Thermal and Statistical Physics,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Classical Mechanics and Quantum Mechanics,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Physics of Nanomaterials,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Micro  and Nano Device Fabrication Technology ,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Documentation and Advertisement on Nano Science and Technology,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Fibre optics and Laser Physics,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Nuclear and Particle Physics,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Atomic and Molecular Physics,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Nano Electronics,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Synthesis and Characterization of Nanomaterials-II,"CS,CH,CE,EC,ME,MM"
PHYSICS,ENGG-4,MINOR,Renewable Energy,"CS,CH,CE,EC,ME,MM"
CHEMISTRY,ENGG-3,MINOR,Chemistry of Biomolecules (Chemical),CH
CHEMISTRY,ENGG-3,MINOR,"Electrochemistry and Fuels (Chemical, MME)","CH,MM"
CHEMISTRY,ENGG-3,MINOR,"Polymer Chemistry (Chemical, MME)","CH,MM"
CHEMISTRY,ENGG-3,MINOR,Environmental and Green Chemistry (All Branches),"CS,CH,CE,EC,ME,MM"
CHEMISTRY,ENGG-3,MINOR,"Nanostructured Materials (Chemical, MME)","CH,MM"
CHEMISTRY,ENGG-3,MINOR,Solid State Chemistry (MME),MM
CHEMISTRY,ENGG-4,MINOR,Chemistry of Biomolecules (Chemical),CH
CHEMISTRY,ENGG-4,MINOR,"Electrochemistry and Fuels (Chemical, MME)","CH,MM"
CHEMISTRY,ENGG-4,MINOR,"Polymer Chemistry (Chemical, MME)","CH,MM"
CHEMISTRY,ENGG-4,MINOR,Environmental and Green Chemistry (All Branches),"CS,CH,CE,EC,ME,MM"
CHEMISTRY,ENGG-4,MINOR,"Nanostructured Materials (Chemical, MME)","Ch,MM"
CHEMISTRY,ENGG-4,MINOR,Solid State Chemistry (MME),MM
VOCAL,ENGG-3,MINOR,Vocal 1,"CS,CH,CE,EC,ME,MM"
VOCAL,ENGG-3,MINOR,Vocal 2,"CS,CH,CE,EC,ME,MM"
VOCAL,ENGG-4,MINOR,Vocal 5,"CS,CH,CE,EC,ME,MM"
VOCAL,ENGG-4,MINOR,Vocal 6,"CS,CH,CE,EC,ME,MM"
KUCHIPUDI,ENGG-3,MINOR,Kuchipudi 1,"CS,CH,CE,EC,ME,MM"
KUCHIPUDI,ENGG-3,MINOR,Kuchipudi 2,"CS,CH,CE,EC,ME,MM"
KUCHIPUDI,ENGG-4,MINOR,Kuchipudi 5,"CS,CH,CE,EC,ME,MM"
KUCHIPUDI,ENGG-4,MINOR,Kuchipudi 6,"CS,CH,CE,EC,ME,MM"
MRIDANGAM,ENGG-3,MINOR,Mridangam 1,"CS,CH,CE,EC,ME,MM"
MRIDANGAM,ENGG-3,MINOR,Mridangam 2,"CS,CH,CE,EC,ME,MM"
MRIDANGAM,ENGG-4,MINOR,Mridangam 5,"CS,CH,CE,EC,ME,MM"
MRIDANGAM,ENGG-4,MINOR,Mridangam 6,"CS,CH,CE,EC,ME,MM"
CSE,ENGG-3,MINOR,Network Security (or) DIP,"CS,CH,CE,EC,ME,MM"
CSE,ENGG-3,MINOR,Applied Graph Theory (Compulsory),"CS,CH,CE,EC,ME,MM"
CSE,ENGG-3,MINOR,Compiler Design (Compulsory),"CS,CH,CE,EC,ME,MM"
CSE,ENGG-4,MINOR,Cloud Computing (Compulsory),"CS,CH,CE,EC,ME,MM"
CSE,ENGG-4,MINOR,Network Security (Compulsory),"CS,CH,CE,EC,ME,MM"
CSE,ENGG-4,MINOR,EVS (Compulsory),"CS,CH,CE,EC,ME,MM"
ECE,ENGG-3,MINOR,Computer Networks,"CS,CH,CE,EC,ME,MM"
ECE,ENGG-3,MINOR,IDL,"CS,CH,CE,EC,ME,MM"
ECE,ENGG-3,MINOR,DIP Digital Image Processing,"CS,CH,CE,EC,ME,MM"
ECE,ENGG-3,MINOR,EMI Electronic Measurements and Instrumentaion,"CS,CH,CE,EC,ME,MM"
ECE,ENGG-3,MINOR,LPVLSI Low Power VLSI,"CS,CH,CE,EC,ME,MM"
ECE,ENGG-3,MINOR,OC Opticalfiber Communication,"CS,CH,CE,EC,ME,MM"
ECE,ENGG-4,MINOR,SC - Satellite Communication,"CS,CH,CE,EC,ME,MM"
ECE,ENGG-4,MINOR,WC - Wireless Communication,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-4,MINOR,ES - Embeded Systems,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-3,MINOR,Praacheena Saahitya Prakriyala Parichayam,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-3,MINOR,Anuvaadam,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-4,MINOR,Vachana Saahitya Prakriyala Parichayam,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-4,MINOR,Bhaasha Shaastram,"CS,CH,CE,EC,ME,MM"
TELUGU,ENGG-4,MINOR,Telugu Kavitvodhyamaalu - dhoranalu,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-3,MINOR,Business Etiquette & Grooming,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-3,MINOR,Workplace Communication,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,English for Competetive Exams,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Film Review,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Inspiring Lives,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Prose,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Drama,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Poetry,"CS,CH,CE,EC,ME,MM"
ENGLISH,ENGG-4,MINOR,Short Stories,"CS,CH,CE,EC,ME,MM"
MANAGEMENT,ENGG-3,MINOR,BOM,"CS,CH,CE"
,,,,
,,,,
,,,,
,,,,
